url,naziv,cijena,lokacija,lat,lng,Kvadrata,Broj soba,Adresa,Godina izgradnje,Primarna orjentacija
https://www.olx.ba/artikal/31211170/grbavica-izdajem-namjesten-dvosoban-stan-na-grbavici/,"[IZDAVANJE] GRBAVICA, Izdajem namjesten dvosoban stan na Grbavici",400 KM,Novo Sarajevo,43.85406,18.392567,51,Dvosoban (2),Derviša Numića,,Istok
https://www.olx.ba/artikal/31350984/izdajem-namjesten-stan-na-duzi-period/,[IZDAVANJE] IZDAJEM NAMJEŠTEN STAN na duži period,470 KM,"Sarajevo, Novi Grad",43.844591,18.370635,63,Dvosoban (2),Muf.Džab.,,
https://www.olx.ba/artikal/31323703/jednosoban-stan-na-mojmilu/,[IZDAVANJE] Jednosoban stan na Mojmilu,250 KM,"Sarajevo, Novi Grad",43.838416,18.34656,38,Jednosoban (1),,,
https://www.olx.ba/artikal/28982298/izdajem-namjesten-stan/,[IZDAVANJE] Izdajem namjesten stan,400 KM,Novo Sarajevo,43.845105,18.383052,70,Trosoban (3),,2000-2009,
https://www.olx.ba/artikal/30351920/stan-sarajevo-novo-sarajevo/,[IZDAVANJE] Stan Sarajevo-Novo Sarajevo,400 KM,Novo Sarajevo,43.851894,18.375537,36,Jednosoban (1),,,
https://www.olx.ba/artikal/31286861/troiposoban-renoviran-stan-grbavica-neboderi/,"[IZDAVANJE] Troiposoban, renoviran stan Grbavica, neboderi!",PO DOGOVORU,Novo Sarajevo,43.853008,18.400614,75,Trosoban (3),Grbavička 8,,Istok
https://www.olx.ba/artikal/31242977/luksuzan-trosoban-stan-sa-garazom-centar-skenderija/,"[IZDAVANJE] Luksuzan trosoban stan sa garažom centar, Skenderija!",850 KM,Sarajevo - Centar,43.854557,18.417818,60,Trosoban (3),Skenderija Čikma br.1,2015+,Jugoistok
https://www.olx.ba/artikal/31123899/dvosoban-stan-u-pofalicima/,[IZDAVANJE] Dvosoban stan u Pofalićima,550 KM,Novo Sarajevo,43.858052,18.391237,56,Dvosoban (2),Hamdije Čemerlića,,
https://www.olx.ba/artikal/30813637/izanjmljujem-luksuzan-nov-stan-skenderija/,[IZDAVANJE] Izanjmljujem luksuzan nov stan SKENDERIJA,850 KM,Sarajevo - Centar,43.85468,18.417454,60,Trosoban (3),SKENDERIJA CIKMA,Novogradnja,
https://www.olx.ba/artikal/31381650/stan-na-dan-sarajevo-centar-sobe-apartmani/,"[IZDAVANJE] STAN NA DAN,SARAJEVO-CENTAR,SOBE,APARTMANI",15 KM,Stari Grad,43.872074,18.428683,80,Dvosoban (2),KRIVA 10,Novogradnja,
https://www.olx.ba/artikal/29631038/stan-sarajevo-novo-sarajevo/,[IZDAVANJE] Stan Sarajevo-Novo Sarajevo,PO DOGOVORU,Novo Sarajevo,43.854669,18.380785,88.6,Trosoban (3),Paromlinska 30,2000-2009,
https://www.olx.ba/artikal/19661333/prostor-izdaje-trosoban-stan-kovacici/,"[IZDAVANJE] PROSTOR izdaje: Trosoban stan, Kovačići",600 KM,Novo Sarajevo,43.850295,18.400588,75,Trosoban (3),Zagrebačka,1990-1999,
https://www.olx.ba/artikal/30948080/prostor-izdaje-trosoban-stan-kovacici/,"[IZDAVANJE] PROSTOR izdaje: Trosoban stan, Kovačići",1.000 KM,Novo Sarajevo,43.850903,18.401322,80,Trosoban (3),Zagrebačka,1980-1989,
https://www.olx.ba/artikal/31096752/prostor-izdaje-dvosoban-stan-dolac-malta/,"[IZDAVANJE] PROSTOR izdaje: Dvosoban stan, Dolac Malta",550 KM,Novo Sarajevo,43.856056,18.383684,60,Dvosoban (2),Marka Marulića,1970-1979,
https://www.olx.ba/artikal/31172918/prostor-izdaje-dvosoban-stan-mejtas/,"[IZDAVANJE] PROSTOR izdaje: Dvosoban stan, Mejtaš",400 KM,Stari Grad,43.860953,18.422831,39,Dvosoban (2),Mehmed Paše Sokolovića,1950-1959,
https://www.olx.ba/artikal/29861128/dvosoban-stan-sa-parkingom-ilidza/,"[IZDAVANJE] Dvosoban stan sa parkingom, Ilidža",650 KM,Ilidža,43.828047,18.314717,54,Dvosoban (2),Butmirska cesta,,
